bulan;tahun;kecamatan;kelurahan;jumlah_pasangan_usia_subur;jumlah_target_pus;jumlah_pus_istrinya_kurang_dari_20_tahun;jumlah_pus_tidak_terpenuhi_berkb;jumlah_akseptor_kb;jumlah_peserta_kb_baru;jumlah_peserta_kb_aktif;penambahanpengurangan_peserta_kb_aktif;jumlah_peserta_kb_baru_yang_menggunakan_mkjp;prosentase_peserta_kb_aktif;jumlah_peserta_kb_aktif_yang_dropout_kontrasepsi
Agustus;2023;DUKUH PAKIS;DUKUH PAKIS;7620;7620;0;1465;5717;27;5672;203;10;74.435.695.538.058;9
Agustus;2023;GAYUNGAN;GAYUNGAN;4605;4605;0;819;3470;13;3436;122;7;74.614.549.402.823;8
Agustus;2023;JAMBANGAN;JAMBANGAN;7981;7981;0;1269;6434;11;6388;203;5;80.040.095.226.162;11
Agustus;2023;TENGGILIS MEJOYO;TENGGILIS MEJOYO;9081;9081;0;1642;6032;9;5990;242;10;65.961.898.469.332;10
Agustus;2023;GUNUNG ANYAR;GUNUNG ANYAR;7894;7894;0;1703;5645;27;5602;219;2;70.965.290.093.742;9
Agustus;2023;MULYOREJO;MULYOREJO;7159;7159;1;1367;5707;23;5639;199;1;78.767.984.355.357;5
Agustus;2023;SUKOMANUNGGAL;SUKOMANUNGGAL;10459;10459;3;1858;8123;15;8098;284;9;77.426.140.166.364;11
Agustus;2023;ASEM ROWO;ASEM ROWO;7459;7459;0;1132;6010;0;5985;187;3;80.238.637.887.116;9
Agustus;2023;BULAK;BULAK;7787;7787;7;1292;5881;18;5856;215;4;75.202.260.177.218;15
Agustus;2023;PAKAL;PAKAL;9357;9357;0;1774;7298;63;7271;262;3;77.706.529.870.685;6
Agustus;2023;SAMBIKEREP;SAMBIKEREP;9290;9290;0;1610;7524;3;7687;257;3;82.744.886.975.242;10
